Depth (ft),SP,DT (edited)
11271,-38.0485901,119.189907
11271.5,-37.94325972,119.189907
11272,-38.36914654,119.4555113
11272.5,-39.47091261,119.7211155
11273,-41.0779869,116.0856574
11273.5,-42.74943887,112.3256972
11274,-43.97956347,108.9532203
11274.5,-44.44611272,104.3026867
11275,-44.14204626,100.4092829
11275.5,-43.30245878,99.37223063
11276,-42.19814882,100.8078045
11276.5,-40.97821559,105.8700294
11277,-39.69590414,112.237674
11277.5,-38.44396603,118.7949445
11278,-37.40846339,120.0308832
11278.5,-36.75450854,118.999307
11279,-36.47195374,117.9359237
11279.5,-36.37154185,115.6141407
11280,-36.24935574,114.1683868
11280.5,-36.04007391,112.2572147
11281,-35.80139257,110.4868811
11281.5,-35.59324537,108.7452413
11282,-35.40076801,106.9738823
11282.5,-35.1802612,105.3784861
11283,-34.95096872,106.4807437
11283.5,-34.7990004,108.0345286
11284,-34.80216527,108.0345286
11284.5,-34.95719964,106.7257636
11285,-35.18814517,105.6440903
11285.5,-35.41279426,109.500664
